Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
43	Unknown	288	0.549	0.625	0.742	102.05511	271974	2262300	4234.956	64.19173	35.970	0.858	0.999	0.556		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	64.19173	102.05511 254011;102.06326 10099;103.05832 7680	null
44	Unknown	288	0.549	0.625	0.742	111.01917	765522	6760829	12851.030	58.98780	60.025	0.903	1.000	0.556		[M+Cl]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	58.98780	111.01917 762099;112.01123 14000;112.01601 35524;112.02240 37718;113.02360 268665	50.56375 2908;73.55643 3840;83.04927 3716;109.06572 2614;111.00777 9714;111.01910 17200;111.04475 5738
45	Unknown	288	0.573	0.625	0.742	113.05991	311384	2293279	6503.317	47.56060	34.451	0.609	0.992	0.401		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	47.56060	113.05401 22495;113.05991 315248;114.05506 35285;114.06336 21015;115.05020 7352	null
46	Unknown	288	0.561	0.625	0.742	119.03413	3503785	28005912	129385.800	26.78690	118.775	0.822	1.000	0.556		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.78690	119.03413 3612760;120.03754 154558;120.04041 9884;121.02866 4667330;121.03983 23319	55.37691 8777;55.74810 9469;63.14019 10276;72.99196 51693;73.55293 8680;73.55772 10373;75.00755 39182;75.01751 9680;93.82988 9850;119.03397 33587;119.04900 29338
47	Unknown	288	0.537	0.625	0.742	121.04978	475872	4206837	4156.107	114.44370	48.562	0.923	0.999	0.690		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	114.44370	121.03983 23319;121.04978 450576;122.05305 19762;123.03983 16414;123.04429 144189;123.05547 10189	71.73669 55355;93.03362 17588;121.02858 616289
48	Unknown	288	0.524	0.625	0.742	123.04432	157382	1532027	3977.060	39.51122	33.751	0.677	1.000	0.778		[M-H]-	2		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	39.51122	123.03535 8525;123.03983 16414;123.04429 144189;124.03958 74492;124.04755 9331;125.03484 128592	null
49	Unknown	288	0.561	0.625	0.742	125.05998	113862	884818	5289.539	21.41621	24.981	0.652	0.997	0.514		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	21.41621	125.05998 120956;126.05529 41385;127.05045 100059	null
50	Unknown	288	0.561	0.625	0.742	127.01411	1993601	16408258	56214.860	34.75626	80.592	0.622	0.993	0.381		[M+Cl]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	34.75626	127.01411 2073283;128.01108 11883;128.01755 95845;129.01854 1208724	63.06719 8514;65.69450 7316;71.76529 29702;73.74959 7820;78.99850 6871;95.49940 8976;112.16536 8866;121.91610 7521;126.90428 33997;127.03850 11304
51	Unknown	288	0.510	0.625	0.742	127.03921	156558	1692028	5758.507	27.00606	41.960	0.862	1.000	0.519		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	27.00606	127.03925 168210;128.03452 2814533;129.02971 514259;129.03329 7688;129.03775 125236;129.04034 8487	null
52	Unknown	288	0.549	0.625	0.742	129.01854	1193081	10256218	30611.730	38.51358	81.390	0.885	1.000	0.556		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	38.51358	129.01854 1208724;130.01375 56103;130.02193 74294;131.02277 16008	72.00759 6345;73.55627 7845;73.56026 6507;85.02840 11804;95.49876 6282;96.08715 4901;101.02370 10588;112.02837 4753;129.01862 8404
53	Unknown	288	0.549	0.625	0.742	129.02971	658125	5627046	7220.985	90.58545	51.682	0.881	1.000	0.556		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	90.58545	129.02971 514259;129.03329 7688;129.03775 125236;130.02193 74294;130.03307 15978;130.03888 15519;131.02277 16008;131.03416 553083;131.03676 17807	72.00759 6345;73.55627 7845;73.56026 6507;85.02840 11804;95.49876 6282;96.08715 4901;101.02370 10588;112.02837 4753;129.01862 8404
